area_numbe,comm_name,shape_area,shape_len,Crime_freq,population,crime_rate,gentrified,hardindex,hous_crowd,poverty,No_Work,No_HS,Age18_64,income_per,hispanic,black,white,asian,other,NBR_Q1,PC1,PC2,FBI 1,FBI 2,FBI 3,FBI 4,FBI 5,FBI 6,FBI 7,FBI 8,FBI 9,FBI 10,FBI 11,FBI 12,FBI 13,FBI 14,FBI 15,FBI 16,FBI 17,FBI 18,FBI 19,FBI 20,FBI 22,FBI 24,FBI 26
63,Gage Park,0.000270277,0.000515983,0.003980442,0.002997617,0.003759306,0.010442517,0.003292464,0.011793902,0.000294848,0.000221136,0.002309639,0.0000246,0,0.007100912,0.000933684,0.0000246,0.000491413,0.002039362,0.0000246,0.000515983,0.0000737,0.000515983,0.005036979,,,,,,,,,,,,,,,,,,,,,
66,Chicago Lawn,0.000413428,0.000909542,0.005767323,0.007110964,0.008681991,0.018666281,0.005229866,0.027823714,0.000268728,0.000516785,0.005850008,0,0.0000207,0.015358856,0.002728626,0.0000413,0.000537457,0.004671738,0.000248057,0.000992228,0.000062,0.000930213,0.012092773,,,,,,,,,,,,,,,,,,,,,
67,West Englewood,0.000555384,0.001511879,0.009071274,0.017216908,0.009780932,0.02891083,0.006232644,0.05115705,0.000431965,0.000709658,0.007837087,0,0.0000309,0.027398951,0.008114779,0.002900339,0.000894786,0.015550756,0.000431965,0.00191299,0,0.002869485,0.021042888,,,,,,,,,,,,,,,,,,,,,
68,Englewood,0.001059051,0.001314684,0.009458423,0.016689187,0.008435891,0.029434321,0.007194245,0.058649527,0.000766899,0.000986013,0.006390826,0,0.0000365,0.023773874,0.009385385,0.002483293,0.001168608,0.011503488,0.000292152,0.002008545,0.0000365,0.00332323,0.022605266,,,,,,,,,,,,,,,,,,,,,
69,Greater Grand Crossing,0.000666606,0.001666515,0.011908008,0.015119838,0.010089992,0.029239766,0.007484168,0.052389177,0.000272702,0.000666606,0.00769627,0.0000303,0,0.023422113,0.004878344,0,0.00109081,0.00657516,0.000151501,0.001575614,0.000121201,0.002060419,0.019483077,,,,,,,,,,,,,,,,,,,,,
71,Auburn Gresham,0.000576714,0.00093983,0.007475917,0.01172651,0.007262319,0.025781233,0.005980733,0.039601,0.000234957,0.000726232,0.006792404,0,0,0.018369396,0.005574898,0.000277677,0.000491275,0.007369118,0.000128159,0.001559263,0.0000641,0.002178696,0.017856761,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.000557639,0.00097511,0.007475907,0.010299297,0.006730922,0.025271417,0.006352339,0.035234883,0.000358147,0.000780235,0.006250883,1.71385E-05,2.53648E-05,0.017239098,0.004545092,0.00090345,0.000679043,0.010636383,0.000170714,0.001363934,7.46523E-05,0.00189645,0.015171262,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comm_name,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI8rate,0.035234883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI6rate,0.025271417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI14rate,0.017239098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI26rate,0.015171262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI18rate,0.010636383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI4rate,0.010299297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI3rate,0.007475907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI5rate,0.006730922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI7rate,0.006352339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI11rate,0.006250883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI15rate,0.004545092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI24rate,0.00189645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI20rate,0.001363934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI2rate,0.00097511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI16rate,0.00090345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI10rate,0.000780235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI17rate,0.000679043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI1rate,0.000557639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI9rate,0.000358147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI19rate,0.000170714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI22rate,7.46523E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI13rate,2.53648E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI12rate,1.71385E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
