area_numbe,comm_name,shape_area,shape_len,Crime_freq,population,crime_rate,gentrified,hardindex,hous_crowd,poverty,No_Work,No_HS,Age18_64,income_per,hispanic,black,white,asian,other,NBR_Q1,PC1,PC2,FBI 1,FBI 2,FBI 3,FBI 4,FBI 5,FBI 6,FBI 7,FBI 8,FBI 9,FBI 10,FBI 11,FBI 12,FBI 13,FBI 14,FBI 15,FBI 16,FBI 17,FBI 18,FBI 19,FBI 20,FBI 22,FBI 24,FBI 26,FBI1rate,FBI2rate,FBI3rate,FBI4rate,FBI5rate,FBI6rate,FBI7rate,FBI8rate,FBI9rate,FBI10rate,FBI11rate,FBI12rate,FBI13rate,FBI14rate,FBI15rate,FBI16rate,FBI17rate,FBI18rate,FBI19rate,FBI20rate,FBI22rate,FBI24rate,FBI26rate
,Average,3.45688E-05,0.000524116,0.002731215,0.001806042,0.003259141,0.030669983,0.002618024,0.011137828,6.62072E-05,0.000838144,0.008152358,2.58263E-05,1.34969E-05,0.006189617,0.000270232,0.000056364,0.000396276,0.000813539,5.0375E-06,0.000255045,0.000070947,0.000264229,0.005369262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lincoln Square,0.0000213,0.000490604,0.001343828,0.000874555,0.002325036,0.013139651,0.001834432,0.007998976,0.0000427,0.000447943,0.004330112,0,0.0000427,0.004266121,0.000191975,0,0.000277298,0.00070391,0,0.000149314,0.0000427,0.000170645,0.004074145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jefferson Park,0.0000358,0.000322188,0.000644376,0.001002363,0.002076323,0.009486647,0.001754135,0.007123935,0.0000358,0.000286389,0.004403236,0,0,0.004653827,0.000143195,0.0000358,0.000214792,0.000823369,0,0.000250591,0,0.000322188,0.004403236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Forest Glen,0,0.000161568,0.000430849,0.000592417,0.002531237,0.008509263,0.001346402,0.004146919,0.0000539,0.000323137,0.003823783,0,0,0.00317751,0.000215424,0,0.000161568,0.000323137,0,0.000107712,0,0.0000539,0.003608358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Irving Park,0.0000362,0.000253743,0.002029942,0.001721825,0.003788016,0.014662703,0.003516149,0.009769094,0.000199369,0.000507485,0.003896763,0.0000181,0.0000544,0.007159169,0.000253743,0.0000181,0.000598108,0.00052561,0.0000362,0.000344365,0.0000362,0.000126871,0.00505673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,West Ridge,0.0000266,0.000279311,0.00152956,0.00152956,0.002567001,0.012169981,0.0025404,0.009563078,0.0000133,0.000438917,0.003577841,0,0.0000133,0.006450755,0.000305912,0.0000266,0.000399016,0.000691627,0.0000133,0.000372415,0.0000532,0.000199508,0.005094101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Avondale,0.00006,0.000660125,0.003270621,0.002610496,0.004380832,0.020193837,0.003690701,0.012032286,0.000240046,0.000750143,0.005431032,0.00003,0,0.009331773,0.00042008,0,0.000600114,0.000690131,0,0.00042008,0,0.00009,0.005551055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Logan Square,0.0000648,0.000375555,0.003392947,0.00217563,0.004144058,0.023310325,0.003302296,0.010334244,0.0000907,0.000608658,0.004519613,0.000013,0,0.006798845,0.000453256,0,0.000440306,0.000777011,0,0.000233103,0.0000777,0.000168352,0.004416012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,West Town,0.0000827,0.000673281,0.00502008,0.003094732,0.007701394,0.036652492,0.00519726,0.013477439,0.0000827,0.00090952,0.006543822,0.0000236,0.0000118,0.010512639,0.000590598,0.0000236,0.000295299,0.000897708,0,0.000401606,0.000165367,0.000141743,0.005905977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Uptown,0.0000926,0.000888872,0.001907372,0.002833281,0.002962908,0.017925594,0.001944408,0.014555286,0.0000185,0.000574063,0.006851725,0.0000185,0,0.00588878,0.000425918,0.0000185,0.000537027,0.001296272,0,0.000333327,0.0000556,0.000666654,0.006259143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
